"","Bcells","CAFs","CD4_Tcells","CD8_Tcells","Endothelial","Macrophages","NKcells","otherCells"
"1A",0.00173904377986384,0.0207875450227875,2.99441371300191e-05,2.85064267458138e-05,0.977139586733078,0.000250206061444334,2.48479733981846e-05,3.19865552400365e-07
"1C",1.6541431865171e-08,0.0714915307770689,0.0231963571121715,1.20816622325596e-06,4.64461431439511e-08,5.66718264614295e-09,0.905297727364383,1.31079253960371e-05
"1E",0.578405826917725,0.0750391362729179,3.57404620994921e-05,3.33579288280694e-05,0.209079515039096,0.137373202134809,2.95085266134416e-05,3.71271791071743e-06
"1F",0.0175989982078024,1.86320442816833e-05,6.90310478338345e-05,0.225910860595188,1.11303613807938e-05,1.11106329861666e-07,8.30839841986598e-05,0.756308152652985
"2A",6.94044454859879e-06,0.0247477004021104,1.37663882720608e-07,1.12179191873834e-07,0.305555063747261,5.02841700764221e-10,0.669689919208971,1.25851193271106e-07
"2B",1.19035896340431e-07,0.00145267601877127,0.184106087814961,0.207073023052526,5.36533251712727e-10,1.09672640166898e-05,0.0837072415685586,0.523649884708737
"2C",6.73229044210351e-09,1.06587317118344e-08,1.66554647227483e-05,2.23505380948925e-05,0.08286228888607,2.99486797091437e-09,0.917078082296284,2.06024289377454e-05
"2D",0.361890667971097,8.42887437784452e-10,9.26503343063336e-06,7.35833098641553e-05,2.38031020144237e-07,1.52549885088197e-05,2.75380997490715e-07,0.638010714442194
"2E",7.85047999648879e-07,0.00412368413034095,3.41406416573008e-08,0.490426732576302,2.37739723188195e-08,0.0333743676822831,0.472069236192559,5.13645590036285e-06
"2F",1.07080747472666e-06,1.6971231027734e-06,7.54116923320367e-06,0.000103433200981417,3.38858859835192e-06,1.10848540638028e-05,0.99986240019583,9.38406071605618e-06
"3A",0.681191414197888,1.449839176315e-09,0.00761713440798642,0.311063106696489,0.00010653716986906,2.1694570688934e-05,4.77656553167865e-08,6.37415841261374e-08
"3B",0.414675769469042,0.036350902973184,0.340419675205627,0.0645812440653829,0.0813706366282112,0.0626008385253976,1.41167790578373e-08,9.19016375671534e-07
"3C",1.00268800496039e-08,0.0181587247671514,3.24948285423845e-05,0.000550798126924344,0.92806871010993,0.0467494880295123,0.00575151697736164,0.000688257133697972
"3D",7.84902894035979e-09,0.0200753849878661,1.0139317552142e-07,0.20862798425837,0.27136705549864,2.02784505875867e-10,0.499929351776914,1.14033220623617e-07
"4A",0.166781390108857,1.97511461176721e-07,0.180943421190658,0.104383369885293,0.241081852810572,0.0489072282822028,1.7666846443976e-05,0.257884873364511
"4B",0.313982550339557,0.00208811237479436,0.00151476757116337,8.62207362593466e-08,0.000669234784587588,0.681745121270218,6.95851150507062e-08,5.78538285707463e-08
"4C",2.02816014263085e-10,0.00570528965758603,9.08037693982836e-08,4.06247663661363e-08,0.000124491473539639,0.00210534358273323,0.653925087550518,0.338139656104271
"4D",3.0151667423725e-09,0.0534475388303859,0.000176669458193101,5.85641658137616e-05,0.000752984842240671,4.35747597012916e-05,7.41485509933552e-08,0.945520590779948
"4E",2.34848139754295e-06,3.26149797104553e-10,0.491232179532191,2.53094298175605e-05,2.44963494533418e-08,0.00311379919295461,0.505626334877579,3.66356024160905e-09
