symbol,GeneID_dog,name_dog,GeneID_human,name_human
CYB5A,476167.0,cytochrome b5 type A (microsomal),1528,cytochrome b5 type A
BCL2,403416.0,"BCL2, apoptosis regulator",596,BCL2 apoptosis regulator
PPIAP1,607403.0,peptidylprolyl isomerase (cyclophilin A) pseudogene 1,100288185,peptidylprolyl isomerase A pseudogene 1
CDH20,483959.0,cadherin 20,28316,cadherin 20
MC4R,483961.0,melanocortin 4 receptor,4160,melanocortin 4 receptor
PMAIP1,100502558.0,phorbol-12-myristate-13-acetate-induced protein 1,5366,phorbol-12-myristate-13-acetate-induced protein 1
SEC11C,404003.0,"SEC11 homolog C, signal peptidase complex subunit",90701,"SEC11 homolog C, signal peptidase complex subunit"
MIR122,100886116.0,microRNA 122,406906,microRNA 122
TCF4,403949.0,transcription factor 4,6925,transcription factor 4
VNN1,442973.0,vanin 1,8876,vanin 1
TBPL1,476209.0,TATA-box binding protein like 1,9519,TATA-box binding protein like 1
UTRN,442965.0,utrophin,7402,utrophin
PPIL4,484030.0,peptidylprolyl isomerase like 4,85313,peptidylprolyl isomerase like 4
LATS1,476241.0,large tumor suppressor kinase 1,9113,large tumor suppressor kinase 1
ESR1,403640.0,estrogen receptor 1,2099,estrogen receptor 1
OPRM1,484041.0,opioid receptor mu 1,4988,opioid receptor mu 1
NOX3,484046.0,NADPH oxidase 3,50508,NADPH oxidase 3
EZR,484056.0,ezrin,7430,ezrin
MAS1,484066.0,"MAS1 proto-oncogene, G protein-coupled receptor",4142,"MAS1 proto-oncogene, G protein-coupled receptor"
IGF2R,484067.0,insulin like growth factor 2 receptor,3482,insulin like growth factor 2 receptor
SLC22A2,403655.0,"solute carrier family 22 (organic cation transporter), member 2",6582,solute carrier family 22 member 2
PLG,403602.0,plasminogen,5340,plasminogen
QKI,606754.0,"QKI, KH domain containing RNA binding",9444,"QKI, KH domain containing RNA binding"
SMOC2,476270.0,SPARC related modular calcium binding 2,64094,SPARC related modular calcium binding 2
THBS2,484087.0,thrombospondin 2,7058,thrombospondin 2
PLN,414755.0,phospholamban,5350,phospholamban
GJA1,403418.0,gap junction protein alpha 1,2697,gap junction protein alpha 1
TRDN,403776.0,triadin,10345,triadin
ARHGAP18,476292.0,Rho GTPase activating protein 18,93663,Rho GTPase activating protein 18
MIR24-1,100885882.0,microRNA 24-1,407012,microRNA 24-1
MIR27B,100886115.0,microRNA 27b,407019,microRNA 27b
MIR23B,100885881.0,microRNA 23b,407011,microRNA 23b
DAPK1,484142.0,death associated protein kinase 1,1612,death associated protein kinase 1
HNRNPK,100855638.0,heterogeneous nuclear ribonucleoprotein K,3190,heterogeneous nuclear ribonucleoprotein K
MIR7-1,100886119.0,microRNA 7-1,407043,microRNA 7-1
GNAQ,403928.0,G protein subunit alpha q,2776,G protein subunit alpha q
ANXA1,476322.0,annexin A1,301,annexin A1
ALDH1A1,476323.0,aldehyde dehydrogenase 1 family member A1,216,aldehyde dehydrogenase 1 family member A1
MIR204,100886077.0,microRNA 204,406987,microRNA 204
TJP2,403854.0,tight junction protein 2,9414,tight junction protein 2
FXN,609051.0,frataxin,2395,frataxin
VLDLR,476336.0,very low density lipoprotein receptor,7436,very low density lipoprotein receptor
SLC1A1,403751.0,solute carrier family 1 member 1,6505,solute carrier family 1 member 1
MIR101-2,100886042.0,microRNA 101-2,406894,microRNA 101-2
CD274,484186.0,CD274 molecule,29126,CD274 molecule
RLN2,403742.0,relaxin 2,6019,relaxin 2
MIRLET7D,104795022.0,microRNA let-7d,406886,microRNA let-7d
UBE2S,403671.0,ubiquitin conjugating enzyme E2 S,27338,ubiquitin conjugating enzyme E2 S
TMEM190,476379.0,transmembrane protein 190,147744,transmembrane protein 190
TNNI3,403566.0,"troponin I3, cardiac type",7137,"troponin I3, cardiac type"
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
